Time,Full demand,Wind CF,Solar CF
00:00:00,0.42178112403985,1.057947234906139,0.0
01:00:00,0.390701447511851,1.0515570776255707,0.0
02:00:00,0.3208910690293306,1.0465847285641805,0.0
03:00:00,0.3064374984155956,1.0393833079655,0.0025335386721423683
04:00:00,0.364864248231804,1.033439370877727,0.022044642178112406
05:00:00,0.3550168580627171,1.028052511415525,0.617176211118718
06:00:00,0.4935787258853652,0.9969228817858955,0.635270362765229
07:00:00,0.627239080285,0.9812767630644342,0.6239595026237737
08:00:00,0.693505209521636,0.9713975139523086,0.6449894288539053
09:00:00,0.638693943772657,1.0066902587519025,1.0094676401247243
10:00:00,0.616596952873476,0.9836489091831558,1.3087864096128985
11:00:00,0.635974877683904,1.019188229325216,1.4150312571298197
12:00:00,0.656110730854059,1.176491628614917,1.797985055897787
13:00:00,0.6350551752985019,1.0273335870116692,1.758246634725074
14:00:00,0.6418343600273785,0.9929165905631659,1.3920988668339798
15:00:00,0.642074175475953,0.98739726027396,1.2690745303825385
16:00:00,0.7709486145968008,0.963006088280062,0.6373196440793978
17:00:00,0.8216774406165233,0.94809741248098,0.65894189672218413
18:00:00,1.035457702740386,0.93758102283105,0.11668777093315082
19:00:00,1.1717116637513624,0.891439370877727,0.02543349304129592
20:00:00,1.0257150100134358,0.8736199898528664,0.004613430679139098
21:00:00,0.9265397875630592,1.0735542871638761,0.0
22:00:00,0.6530258321291857,1.1702529173008626,0.0
23:00:00,0.4254559282074682,1.1646565195332318,0.0
